# id ra dec s L A b x y a flux x_0 y_0
0.000000000000000000e+00 4.823496004080793398e+01 1.881610891891236292e+01 8.945114734968557357e+00 2.785053957939475708e+02 9.089329969720409963e+01 1.767770874128351579e+02 1.631778907830323760e+03 9.482232590084893218e+02 6.370000000000000284e+01 4.234680785835010931e+06 1.570133084089283329e+03 1.043833882772957622e+03
1.000000000000000000e+00 4.824984069384905183e+01 1.880647315216114279e+01 5.480016135147915968e+00 2.652047788229990601e+02 8.999288034185767060e+01 1.747574482957635098e+02 1.921013380243980237e+03 7.889015580072577905e+02 6.370000000000000284e+01 1.881038246360670310e+06 1.840708919726943805e+03 1.232112501618441911e+03
2.000000000000000000e+00 4.820323638875643013e+01 1.879328001148313732e+01 2.914614528651700898e+00 2.509784942979083269e+02 9.089162884697834954e+01 1.764100804131977611e+02 1.768971740487738998e+03 1.666011158199035663e+03 6.370000000000000284e+01 1.013549449144342914e+07 9.872777765951900619e+02 1.484958627181447127e+03
3.000000000000000000e+00 4.818500938623417795e+01 1.877691874495493352e+01 2.902037939121636878e+00 2.507865575762652384e+02 8.993252262404486430e+01 1.743754107744079818e+02 1.904162863275852033e+03 2.107656591677774941e+03 6.370000000000000284e+01 8.722294015138059855e+06 6.518617534636289292e+02 1.801397493644477208e+03
4.000000000000000000e+00 4.818592576819855111e+01 1.877714636054060193e+01 2.925716742576519369e+00 2.507948467131085124e+02 9.088941910631606902e+01 1.766594854913653307e+02 1.907554818090463641e+03 2.091390901353273421e+03 6.370000000000000284e+01 8.805892201487330720e+06 6.686415286431026743e+02 1.797047540345406560e+03
5.000000000000000000e+00 4.818501140970107599e+01 1.877691922637324140e+01 2.902056689010585888e+00 2.507868257033643431e+02 8.993472466606816340e+01 1.743754083909450401e+02 1.904167023475880114e+03 2.107681364270205449e+03 6.370000000000000284e+01 8.722200026654953137e+06 6.518988019712207915e+02 1.801388300070079822e+03
6.000000000000000000e+00 4.823328736149249352e+01 1.871893011717210697e+01 8.440589916720606212e+00 2.710574219565669409e+02 9.079973795344011478e+01 1.769341382477817888e+02 3.304353263111815522e+03 1.823353391107999187e+03 6.370000000000000284e+01 4.115445633767487481e+06 1.526156554227200559e+03 2.931621794623125879e+03
7.000000000000000000e+00 4.819108977018017725e+01 1.869508561315186057e+01 2.986401747414234364e+00 2.512652230602110990e+02 8.989266636823496981e+01 1.747051386523550036e+02 3.373692102360735589e+03 2.723658645035673089e+03 6.370000000000000284e+01 6.506267830801719800e+06 7.513202614483360549e+02 3.391645548535112994e+03
8.000000000000000000e+00 4.819328418241566681e+01 1.869537630326898991e+01 2.976732144930272828e+00 2.511734595214264800e+02 9.079781259739542065e+01 1.768600541318669457e+02 3.386584262568284885e+03 2.684972939421334104e+03 6.370000000000000284e+01 6.480706482086995617e+06 7.914843863471966188e+02 3.386169367900321504e+03
9.000000000000000000e+00 4.817509717708944095e+01 1.867417526614463341e+01 5.129316800459148951e+00 2.630543574988203090e+02 8.998194362210878694e+01 1.749747291423306876e+02 3.606004447694976079e+03 3.167835543634144415e+03 6.370000000000000284e+01 1.794894596548658097e+06 4.558954005035313912e+02 3.796604859478968137e+03
1.000000000000000000e+01 4.822928886896148271e+01 1.865186855831206003e+01 3.505146785212289284e+00 2.527337894543640857e+02 9.024473337722477595e+01 1.758043767559726689e+02 4.435603467589176034e+03 2.475748967584542697e+03 6.370000000000000284e+01 4.238013389323686250e+06 1.443772252541668422e+03 4.234120101199295277e+03
